seed subpopID N opt0 opt1 x y
1231149 1 10 -1 -1 1 1
1231149 2 17 -0.5 -1 2 1
1231149 3 27 0 -1 3 1
1231149 4 38 0.5 -1 4 1
1231149 5 46 1 -1 5 1
1231149 6 46 1 -1 6 1
1231149 7 38 0.5 -1 7 1
1231149 8 27 0 -1 8 1
1231149 9 17 -0.5 -1 9 1
1231149 10 10 -1 -1 10 1
1231149 11 17 -1 -0.777778 1 2
1231149 12 32 -0.5 -0.777778 2 2
1231149 13 55 0 -0.777778 3 2
1231149 14 79 0.5 -0.777778 4 2
1231149 15 96 1 -0.777778 5 2
1231149 16 96 1 -0.777778 6 2
1231149 17 79 0.5 -0.777778 7 2
1231149 18 55 0 -0.777778 8 2
1231149 19 32 -0.5 -0.777778 9 2
1231149 20 17 -1 -0.777778 10 2
1231149 21 27 -1 -0.555556 1 3
1231149 22 55 -0.5 -0.555556 2 3
1231149 23 96 0 -0.555556 3 3
1231149 24 141 0.5 -0.555556 4 3
1231149 25 172 1 -0.555556 5 3
1231149 26 172 1 -0.555556 6 3
1231149 27 141 0.5 -0.555556 7 3
1231149 28 96 0 -0.555556 8 3
1231149 29 55 -0.5 -0.555556 9 3
1231149 30 27 -1 -0.555556 10 3
1231149 31 38 -1 -0.333333 1 4
1231149 32 79 -0.5 -0.333333 2 4
1231149 33 141 0 -0.333333 3 4
1231149 34 209 0.5 -0.333333 4 4
1231149 35 255 1 -0.333333 5 4
1231149 36 255 1 -0.333333 6 4
1231149 37 209 0.5 -0.333333 7 4
1231149 38 141 0 -0.333333 8 4
1231149 39 79 -0.5 -0.333333 9 4
1231149 40 38 -1 -0.333333 10 4
1231149 41 46 -1 -0.111111 1 5
1231149 42 96 -0.5 -0.111111 2 5
1231149 43 172 0 -0.111111 3 5
1231149 44 255 0.5 -0.111111 4 5
1231149 45 311 1 -0.111111 5 5
1231149 46 311 1 -0.111111 6 5
1231149 47 255 0.5 -0.111111 7 5
1231149 48 172 0 -0.111111 8 5
1231149 49 96 -0.5 -0.111111 9 5
1231149 50 46 -1 -0.111111 10 5
1231149 51 46 -1 0.111111 1 6
1231149 52 96 -0.5 0.111111 2 6
1231149 53 172 0 0.111111 3 6
1231149 54 255 0.5 0.111111 4 6
1231149 55 311 1 0.111111 5 6
1231149 56 311 1 0.111111 6 6
1231149 57 255 0.5 0.111111 7 6
1231149 58 172 0 0.111111 8 6
1231149 59 96 -0.5 0.111111 9 6
1231149 60 46 -1 0.111111 10 6
1231149 61 38 -1 0.333333 1 7
1231149 62 79 -0.5 0.333333 2 7
1231149 63 141 0 0.333333 3 7
1231149 64 209 0.5 0.333333 4 7
1231149 65 255 1 0.333333 5 7
1231149 66 255 1 0.333333 6 7
1231149 67 209 0.5 0.333333 7 7
1231149 68 141 0 0.333333 8 7
1231149 69 79 -0.5 0.333333 9 7
1231149 70 38 -1 0.333333 10 7
1231149 71 27 -1 0.555556 1 8
1231149 72 55 -0.5 0.555556 2 8
1231149 73 96 0 0.555556 3 8
1231149 74 141 0.5 0.555556 4 8
1231149 75 172 1 0.555556 5 8
1231149 76 172 1 0.555556 6 8
1231149 77 141 0.5 0.555556 7 8
1231149 78 96 0 0.555556 8 8
1231149 79 55 -0.5 0.555556 9 8
1231149 80 27 -1 0.555556 10 8
1231149 81 17 -1 0.777778 1 9
1231149 82 32 -0.5 0.777778 2 9
1231149 83 55 0 0.777778 3 9
1231149 84 79 0.5 0.777778 4 9
1231149 85 96 1 0.777778 5 9
1231149 86 96 1 0.777778 6 9
1231149 87 79 0.5 0.777778 7 9
1231149 88 55 0 0.777778 8 9
1231149 89 32 -0.5 0.777778 9 9
1231149 90 17 -1 0.777778 10 9
1231149 91 10 -1 1 1 10
1231149 92 17 -0.5 1 2 10
1231149 93 27 0 1 3 10
1231149 94 38 0.5 1 4 10
1231149 95 46 1 1 5 10
1231149 96 46 1 1 6 10
1231149 97 38 0.5 1 7 10
1231149 98 27 0 1 8 10
1231149 99 17 -0.5 1 9 10
1231149 100 10 -1 1 10 10
