to from m
1 2 0.01
2 1 0.01
2 3 0.001
3 2 0.001
3 4 0.1
4 3 0.001
4 5 0.001
5 4 0.001
5 6 0.001
6 5 0.25
6 7 0.001
7 6 0.001
7 8 0.001
8 7 0.001
8 9 0.001
9 8 0.001
9 10 0.001
10 9 0.1
10 20 0.001
11 12 0.001
12 11 0.25
12 13 0.01
13 12 0.001
13 14 0.1
14 13 0.001
14 15 0.001
15 14 0.001
15 16 0.1
16 15 0.001
16 17 0.001
17 16 0.001
17 18 0.001
18 17 0.001
18 19 0.001
19 18 0.001
19 20 0.001
20 10 0.001
20 19 0.001
20 30 0.001
21 22 0.001
22 21 0.01
22 23 0.001
23 22 0.001
23 24 0.001
24 23 0.001
24 25 0.25
25 24 0.001
25 26 0.001
26 25 0.001
26 27 0.01
27 26 0.001
27 28 0.001
28 27 0.001
28 29 0.001
29 28 0.1
29 30 0.001
30 20 0.01
30 29 0.001
30 40 0.001
31 32 0.001
32 31 0.001
32 33 0.25
33 32 0.001
33 34 0.001
34 33 0.001
34 35 0.001
35 34 0.001
35 36 0.001
36 35 0.25
36 37 0.001
37 36 0.1
37 38 0.001
38 37 0.25
38 39 0.001
39 38 0.001
39 40 0.001
40 30 0.01
40 39 0.001
40 50 0.001
41 42 0.001
42 41 0.01
42 43 0.001
43 42 0.001
43 44 0.001
44 43 0.001
44 45 0.001
45 44 0.001
45 46 0.001
46 45 0.001
46 47 0.001
47 46 0.001
47 48 0.1
48 47 0.001
48 49 0.1
49 48 0.001
49 50 0.001
50 40 0.001
50 49 0.001
50 60 0.001
51 52 0.001
52 51 0.01
52 53 0.001
53 52 0.001
53 54 0.001
54 53 0.001
54 55 0.001
55 54 0.001
55 56 0.001
56 55 0.25
56 57 0.001
57 56 0.25
57 58 0.001
58 57 0.001
58 59 0.001
59 58 0.001
59 60 0.01
60 50 0.25
60 59 0.001
60 70 0.001
61 62 0.001
62 61 0.01
62 63 0.001
63 62 0.001
63 64 0.1
64 63 0.1
64 65 0.001
65 64 0.01
65 66 0.001
66 65 0.001
66 67 0.001
67 66 0.001
67 68 0.01
68 67 0.001
68 69 0.25
69 68 0.25
69 70 0.1
70 60 0.001
70 69 0.01
70 80 0.001
71 72 0.1
72 71 0.001
72 73 0.001
73 72 0.01
73 74 0.001
74 73 0.001
74 75 0.001
75 74 0.25
75 76 0.001
76 75 0.001
76 77 0.001
77 76 0.001
77 78 0.1
78 77 0.001
78 79 0.001
79 78 0.001
79 80 0.25
80 70 0.001
80 79 0.001
80 90 0.001
81 82 0.001
82 81 0.001
82 83 0.1
83 82 0.001
83 84 0.001
84 83 0.001
84 85 0.001
85 84 0.01
85 86 0.001
86 85 0.001
86 87 0.25
87 86 0.001
87 88 0.001
88 87 0.001
88 89 0.001
89 88 0.001
89 90 0.25
90 80 0.001
90 89 0.001
90 100 0.25
91 92 0.001
92 91 0.1
92 93 0.001
93 92 0.001
93 94 0.001
94 93 0.1
94 95 0.001
95 94 0.001
95 96 0.001
96 95 0.1
96 97 0.1
97 96 0.001
97 98 0.25
98 97 0.001
98 99 0.1
99 98 0.1
99 100 0.001
100 90 0.001
100 99 0.001
