to from m
1 2 0.001
1 11 0.001
2 1 0.001
2 3 0.001
2 12 0.001
3 2 0.25
3 4 0.001
3 13 0.001
4 3 0.001
4 5 0.001
4 14 0.001
5 4 0.001
5 6 0.001
5 15 0.001
6 5 0.001
6 7 0.001
6 16 0.01
7 6 0.001
7 8 0.1
7 17 0.001
8 7 0.001
8 9 0.001
8 18 0.001
9 8 0.01
9 10 0.001
9 19 0.001
10 9 0.25
10 20 0.001
11 1 0.001
11 12 0.001
11 21 0.001
12 2 0.001
12 11 0.001
12 13 0.001
12 22 0.01
13 3 0.001
13 12 0.001
13 14 0.001
13 23 0.01
14 4 0.1
14 13 0.001
14 15 0.1
14 24 0.25
15 5 0.001
15 14 0.001
15 16 0.001
15 25 0.001
16 6 0.001
16 15 0.001
16 17 0.001
16 26 0.001
17 7 0.001
17 16 0.001
17 18 0.001
17 27 0.25
18 8 0.001
18 17 0.001
18 19 0.1
18 28 0.001
19 9 0.01
19 18 0.001
19 20 0.001
19 29 0.01
20 10 0.25
20 19 0.25
20 30 0.001
21 11 0.001
21 22 0.001
21 31 0.001
22 12 0.001
22 21 0.1
22 23 0.25
22 32 0.001
23 13 0.001
23 22 0.1
23 24 0.001
23 33 0.1
24 14 0.001
24 23 0.01
24 25 0.001
24 34 0.1
25 15 0.001
25 24 0.1
25 26 0.001
25 35 0.25
26 16 0.001
26 25 0.001
26 27 0.001
26 36 0.001
27 17 0.25
27 26 0.01
27 28 0.001
27 37 0.001
28 18 0.1
28 27 0.001
28 29 0.1
28 38 0.001
29 19 0.001
29 28 0.001
29 30 0.01
29 39 0.25
30 20 0.001
30 29 0.001
30 40 0.001
31 21 0.001
31 32 0.001
31 41 0.1
32 22 0.001
32 31 0.001
32 33 0.001
32 42 0.001
33 23 0.001
33 32 0.001
33 34 0.001
33 43 0.001
34 24 0.1
34 33 0.001
34 35 0.001
34 44 0.001
35 25 0.001
35 34 0.1
35 36 0.001
35 45 0.001
36 26 0.001
36 35 0.001
36 37 0.001
36 46 0.001
37 27 0.001
37 36 0.001
37 38 0.1
37 47 0.25
38 28 0.001
38 37 0.001
38 39 0.001
38 48 0.25
39 29 0.001
39 38 0.001
39 40 0.001
39 49 0.001
40 30 0.001
40 39 0.001
40 50 0.001
41 31 0.1
41 42 0.001
41 51 0.001
42 32 0.001
42 41 0.25
42 43 0.25
42 52 0.01
43 33 0.1
43 42 0.001
43 44 0.001
43 53 0.001
44 34 0.001
44 43 0.25
44 45 0.001
44 54 0.001
45 35 0.001
45 44 0.001
45 46 0.001
45 55 0.001
46 36 0.1
46 45 0.001
46 47 0.1
46 56 0.1
47 37 0.25
47 46 0.01
47 48 0.001
47 57 0.1
48 38 0.001
48 47 0.001
48 49 0.001
48 58 0.001
49 39 0.001
49 48 0.001
49 50 0.001
49 59 0.25
50 40 0.001
50 49 0.001
50 60 0.01
51 41 0.1
51 52 0.1
51 61 0.001
52 42 0.25
52 51 0.001
52 53 0.25
52 62 0.001
53 43 0.01
53 52 0.001
53 54 0.1
53 63 0.001
54 44 0.001
54 53 0.001
54 55 0.001
54 64 0.1
55 45 0.001
55 54 0.001
55 56 0.001
55 65 0.1
56 46 0.001
56 55 0.001
56 57 0.001
56 66 0.25
57 47 0.1
57 56 0.001
57 58 0.25
57 67 0.001
58 48 0.1
58 57 0.001
58 59 0.001
58 68 0.1
59 49 0.001
59 58 0.001
59 60 0.001
59 69 0.01
60 50 0.1
60 59 0.001
60 70 0.1
61 51 0.001
61 62 0.001
61 71 0.001
62 52 0.01
62 61 0.001
62 63 0.001
62 72 0.001
63 53 0.001
63 62 0.1
63 64 0.001
63 73 0.001
64 54 0.001
64 63 0.001
64 65 0.001
64 74 0.001
65 55 0.001
65 64 0.001
65 66 0.1
65 75 0.001
66 56 0.25
66 65 0.1
66 67 0.001
66 76 0.01
67 57 0.001
67 66 0.25
67 68 0.1
67 77 0.001
68 58 0.1
68 67 0.001
68 69 0.001
68 78 0.1
69 59 0.001
69 68 0.001
69 70 0.001
69 79 0.25
70 60 0.01
70 69 0.001
70 80 0.001
71 61 0.1
71 72 0.001
71 81 0.1
72 62 0.001
72 71 0.001
72 73 0.25
72 82 0.001
73 63 0.001
73 72 0.001
73 74 0.001
73 83 0.1
74 64 0.001
74 73 0.001
74 75 0.001
74 84 0.001
75 65 0.001
75 74 0.25
75 76 0.1
75 85 0.001
76 66 0.001
